lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,sk2g-no-hash,sk3g-no-hash,sk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,sk2g-hash-at-both,sk3g-hash-at-both,sk4g-hash-at-both,max
German,1,plurality,True,1,DT,0.75,0.78,0.73,0.78,0.70,0.76,0.83,0.78,0.85,0.72,0.80,0.79,
German,1,plurality,False,3,NN,0.77,0.78,0.73,0.78,0.78,0.74,0.69,0.80,0.76,0.73,0.76,0.77,
German,1,plurality,False,1,DT,0.75,0.85,0.77,0.78,0.73,0.72,0.72,0.72,0.81,0.78,0.86,0.74,
German,1,plurality,True,2,RF,0.81,0.78,0.78,0.82,0.74,0.82,0.76,0.78,0.87,0.82,0.83,0.79,
German,1,plurality,False,2,RF,0.73,0.80,0.76,0.80,0.76,0.79,0.73,0.78,0.78,0.81,0.83,0.79,
German,1,plurality,True,3,NN,0.78,0.77,0.79,0.79,0.79,0.80,0.72,0.81,0.77,0.72,0.79,0.77,
German,2,gender,False,1,DT,0.48,0.55,0.46,0.50,0.48,0.50,0.45,0.50,0.42,0.42,0.34,0.50,
German,2,gender,False,2,RF,0.57,0.59,0.55,0.53,0.57,0.63,0.49,0.51,0.57,0.55,0.40,0.53,
German,2,gender,True,1,DT,0.46,0.42,0.49,0.47,0.52,0.50,0.34,0.55,0.50,0.51,0.34,0.40,
German,2,gender,True,2,RF,0.58,0.61,0.55,0.60,0.65,0.65,0.53,0.55,0.61,0.56,0.39,0.53,
German,2,gender,True,3,NN,0.52,0.57,0.45,0.55,0.52,0.60,0.50,0.47,0.47,0.56,0.45,0.54,
German,2,gender,False,3,NN,0.53,0.56,0.52,0.55,0.53,0.60,0.51,0.52,0.50,0.55,0.45,0.55,
German,3,case,False,1,DT,0.33,0.33,0.33,0.27,0.46,0.32,0.36,0.38,0.33,0.36,0.31,0.42,
German,3,case,True,1,DT,0.37,0.23,0.39,0.36,0.39,0.27,0.41,0.37,0.38,0.31,0.32,0.34,
German,3,case,True,3,NN,0.30,0.36,0.30,0.24,0.33,0.33,0.37,0.35,0.35,0.37,0.33,0.39,
German,3,case,True,2,RF,0.42,0.41,0.38,0.40,0.46,0.37,0.42,0.37,0.47,0.42,0.35,0.43,
German,3,case,False,3,NN,0.36,0.40,0.28,0.21,0.30,0.34,0.37,0.34,0.37,0.34,0.39,0.35,
German,3,case,False,2,RF,0.41,0.36,0.39,0.33,0.44,0.34,0.37,0.33,0.46,0.37,0.37,0.41,
