lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,sk2g-no-hash,sk3g-no-hash,sk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,sk2g-hash-at-both,sk3g-hash-at-both,sk4g-hash-at-both,max
Irish,1,plurality,True,1,DT,0.57,0.77,0.70,0.64,0.65,0.57,0.70,0.64,0.68,0.72,0.66,0.64,
Irish,1,plurality,False,3,NN,0.58,0.55,0.64,0.64,0.65,0.54,0.60,0.56,0.61,0.59,0.54,0.57,
Irish,1,plurality,False,1,DT,0.64,0.61,0.69,0.64,0.67,0.57,0.63,0.60,0.64,0.70,0.59,0.63,
Irish,1,plurality,True,2,RF,0.67,0.75,0.73,0.66,0.70,0.62,0.68,0.66,0.68,0.76,0.65,0.70,
Irish,1,plurality,False,2,RF,0.65,0.66,0.70,0.67,0.69,0.59,0.66,0.64,0.71,0.73,0.64,0.67,
Irish,1,plurality,True,3,NN,0.59,0.65,0.65,0.68,0.63,0.59,0.70,0.68,0.68,0.65,0.58,0.58,
Irish,2,gender,False,1,DT,0.68,0.68,0.77,0.64,0.73,0.72,0.69,0.66,0.75,0.68,0.72,0.81,
Irish,2,gender,False,2,RF,0.71,0.67,0.81,0.71,0.74,0.77,0.72,0.67,0.76,0.71,0.75,0.82,
Irish,2,gender,True,1,DT,0.73,0.73,0.77,0.78,0.66,0.74,0.70,0.72,0.75,0.71,0.70,0.79,
Irish,2,gender,True,2,RF,0.72,0.73,0.81,0.82,0.78,0.79,0.77,0.73,0.77,0.79,0.76,0.84,
Irish,2,gender,True,3,NN,0.68,0.68,0.73,0.77,0.73,0.69,0.71,0.70,0.73,0.73,0.76,0.78,
Irish,2,gender,False,3,NN,0.67,0.65,0.68,0.68,0.70,0.68,0.65,0.73,0.69,0.68,0.75,0.78,
Irish,3,case,False,1,DT,0.98,0.92,0.96,0.94,0.96,0.93,0.97,0.97,0.96,0.99,0.97,0.93,
Irish,3,case,True,1,DT,0.97,0.97,0.97,0.95,0.96,0.95,0.97,0.97,0.96,0.99,0.97,0.95,
Irish,3,case,True,3,NN,0.99,0.98,0.97,0.96,0.97,0.96,0.97,0.98,0.96,0.99,0.97,0.95,
Irish,3,case,True,2,RF,0.99,0.98,0.97,0.96,0.97,0.96,0.97,0.98,0.96,0.98,0.97,0.95,
Irish,3,case,False,3,NN,0.99,0.98,0.97,0.96,0.96,0.96,0.97,0.98,0.96,0.99,0.97,0.95,
Irish,3,case,False,2,RF,0.99,0.98,0.96,0.96,0.97,0.96,0.97,0.98,0.96,0.98,0.97,0.95,
