lang,attribute,supplement,method,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,sk2gram-hash-at-both,sk3gram-hash-at-both,sk4gram-hash-at-both,2gram-no-hash,3gram-no-hash,4gram-no-hash,sk2gram-no-hash,sk3gram-no-hash,sk4gram-no-hash
French,plurality,False,RF,0.90,0.92,0.89,0.95,0.93,0.91,0.91,0.89,0.89,0.93,0.94,0.92
French,plurality,False,NN,0.91,0.92,0.88,0.94,0.94,0.94,0.92,0.93,0.92,0.92,0.96,0.90
French,plurality,False,DT,0.90,0.89,0.88,0.89,0.89,0.88,0.89,0.90,0.85,0.88,0.89,0.86
French,plurality,True,RF,0.88,0.93,0.89,0.94,0.94,0.92,0.91,0.90,0.92,0.93,0.95,0.91
French,plurality,True,NN,0.90,0.92,0.93,0.94,0.93,0.93,0.92,0.91,0.91,0.94,0.91,0.89
French,plurality,True,DT,0.88,0.88,0.87,0.92,0.89,0.90,0.89,0.87,0.85,0.87,0.92,0.88
French,gender,False,RF,0.80,0.76,0.79,0.76,0.77,0.77,0.79,0.81,0.81,0.84,0.76,0.75
French,gender,False,NN,0.81,0.73,0.78,0.73,0.73,0.81,0.73,0.74,0.82,0.80,0.79,0.77
French,gender,False,DT,0.73,0.67,0.74,0.64,0.68,0.67,0.74,0.79,0.73,0.73,0.72,0.69
French,gender,True,RF,0.84,0.78,0.79,0.78,0.74,0.78,0.75,0.78,0.82,0.82,0.77,0.73
French,gender,True,NN,0.81,0.73,0.76,0.72,0.71,0.81,0.79,0.72,0.81,0.77,0.78,0.74
French,gender,True,DT,0.79,0.64,0.75,0.73,0.70,0.72,0.73,0.73,0.75,0.70,0.66,0.67
