lang,attribute,supplement,method,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,sk2g-hash-at-both,sk3g-hash-at-both,sk4g-hash-at-both,2g-no-hash,3g-no-hash,4g-no-hash,sk2g-no-hash,sk3g-no-hash,sk4g-no-hash
German,plurality,FALSE,RF,0.77,0.84,0.82,0.81,0.76,0.81,0.82,0.84,0.8,0.86,0.83,0.79
German,plurality,FALSE,NN,0.72,0.78,0.82,0.78,0.74,0.78,0.73,0.81,0.74,0.84,0.77,0.74
German,plurality,FALSE,DT,0.67,0.79,0.8,0.76,0.74,0.79,0.8,0.83,0.75,0.83,0.77,0.73
German,plurality,TRUE,RF,0.82,0.9,0.86,0.85,0.8,0.86,0.84,0.84,0.81,0.88,0.84,0.83
German,plurality,TRUE,NN,0.75,0.83,0.83,0.79,0.8,0.81,0.79,0.8,0.81,0.85,0.79,0.79
German,plurality,TRUE,DT,0.75,0.82,0.82,0.81,0.81,0.8,0.82,0.82,0.74,0.91,0.76,0.79
German,gender,FALSE,RF,0.54,0.6,0.54,0.6,0.58,0.56,0.63,0.63,0.6,0.61,0.56,0.56
German,gender,FALSE,NN,0.61,0.59,0.53,0.57,0.58,0.61,0.56,0.61,0.61,0.56,0.55,0.63
German,gender,FALSE,DT,0.44,0.59,0.42,0.52,0.48,0.47,0.44,0.56,0.5,0.49,0.54,0.55
German,gender,TRUE,RF,0.6,0.61,0.54,0.63,0.58,0.58,0.64,0.62,0.64,0.61,0.59,0.62
German,gender,TRUE,NN,0.57,0.61,0.48,0.55,0.61,0.61,0.56,0.59,0.63,0.53,0.55,0.62
German,gender,TRUE,DT,0.54,0.5,0.49,0.56,0.53,0.49,0.55,0.55,0.51,0.47,0.52,0.53
German,case,FALSE,RF,0.4,0.35,0.38,0.41,0.43,0.4,0.47,0.4,0.41,0.34,0.41,0.34
German,case,FALSE,NN,0.32,0.34,0.4,0.4,0.35,0.39,0.41,0.36,0.37,0.32,0.34,0.29
German,case,FALSE,DT,0.37,0.36,0.37,0.43,0.37,0.42,0.43,0.41,0.41,0.35,0.41,0.38
German,case,TRUE,RF,0.42,0.39,0.39,0.45,0.41,0.42,0.48,0.42,0.43,0.38,0.39,0.34
German,case,TRUE,NN,0.41,0.36,0.38,0.42,0.38,0.4,0.48,0.39,0.41,0.29,0.32,0.28
German,case,TRUE,DT,0.41,0.34,0.3,0.41,0.38,0.36,0.4,0.39,0.39,0.33,0.36,0.32
