lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,sk2gram-no-hash,sk3gram-no-hash,sk4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,sk2gram-hash-at-both,sk3gram-hash-at-both,sk4gram-hash-at-both
Irish,plurality,False,RF,0.69,0.66,0.72,0.73,0.72,0.66,0.65,0.68,0.69,0.74,0.67,0.71
Irish,plurality,False,NN,0.59,0.57,0.60,0.62,0.61,0.61,0.60,0.57,0.60,0.65,0.64,0.68
Irish,plurality,False,DT,0.64,0.67,0.69,0.71,0.62,0.65,0.65,0.67,0.65,0.71,0.68,0.71
Irish,plurality,True,RF,0.74,0.70,0.74,0.76,0.75,0.71,0.69,0.71,0.74,0.74,0.71,0.74
Irish,plurality,True,NN,0.65,0.59,0.70,0.69,0.69,0.69,0.62,0.69,0.67,0.71,0.62,0.70
Irish,plurality,True,DT,0.70,0.65,0.71,0.65,0.72,0.68,0.69,0.72,0.71,0.69,0.69,0.70
Irish,gender,False,RF,0.74,0.78,0.76,0.73,0.74,0.73,0.65,0.71,0.72,0.77,0.75,0.76
Irish,gender,False,NN,0.72,0.71,0.78,0.71,0.70,0.72,0.64,0.72,0.71,0.73,0.74,0.72
Irish,gender,False,DT,0.71,0.68,0.71,0.67,0.69,0.71,0.64,0.67,0.71,0.75,0.70,0.72
Irish,gender,True,RF,0.80,0.80,0.80,0.76,0.79,0.78,0.74,0.74,0.80,0.81,0.77,0.79
Irish,gender,True,NN,0.78,0.77,0.73,0.72,0.78,0.77,0.72,0.77,0.74,0.77,0.76,0.80
Irish,gender,True,DT,0.83,0.78,0.79,0.74,0.74,0.72,0.75,0.68,0.77,0.75,0.71,0.74
Irish,case,False,RF,0.97,0.96,0.99,0.98,0.95,0.96,0.98,0.97,0.95,0.94,0.98,0.96
Irish,case,False,NN,0.97,0.96,0.99,0.98,0.95,0.96,0.98,0.97,0.95,0.94,0.98,0.96
Irish,case,False,DT,0.97,0.95,0.98,0.98,0.93,0.96,0.97,0.97,0.95,0.94,0.97,0.95
Irish,case,True,RF,0.97,0.96,0.99,0.98,0.95,0.96,0.98,0.97,0.96,0.94,0.98,0.96
Irish,case,True,NN,0.97,0.96,0.99,0.98,0.95,0.96,0.98,0.97,0.95,0.94,0.98,0.96
Irish,case,True,DT,0.95,0.97,0.99,0.97,0.96,0.96,0.97,0.97,0.93,0.95,0.98,0.96
