lang,attribute,supplement,method,2g-no-hash,3g-no-hash,4g-no-hash,sk2g-no-hash,sk3g-no-hash,sk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,sk2g-hash-at-both,sk3g-hash-at-both,sk4g-hash-at-both
Czech,plurality,FALSE,RF,0.8,0.85,0.8,0.88,0.8,0.8,0.82,0.79,0.88,0.89,0.83,0.82
Czech,plurality,FALSE,NN,0.82,0.84,0.81,0.88,0.79,0.81,0.81,0.73,0.82,0.84,0.82,0.84
Czech,plurality,FALSE,DT,0.8,0.84,0.83,0.87,0.74,0.79,0.81,0.74,0.84,0.86,0.8,0.8
Czech,plurality,TRUE,RF,0.87,0.9,0.9,0.92,0.83,0.88,0.88,0.85,0.92,0.92,0.85,0.89
Czech,plurality,TRUE,NN,0.84,0.86,0.84,0.9,0.81,0.83,0.86,0.81,0.87,0.89,0.82,0.87
Czech,plurality,TRUE,DT,0.82,0.89,0.86,0.8,0.81,0.83,0.85,0.82,0.84,0.91,0.83,0.83
Czech,gender,FALSE,RF,0.61,0.67,0.61,0.58,0.54,0.62,0.64,0.62,0.64,0.62,0.65,0.62
Czech,gender,FALSE,NN,0.57,0.65,0.67,0.64,0.58,0.66,0.6,0.61,0.67,0.57,0.67,0.66
Czech,gender,FALSE,DT,0.51,0.51,0.54,0.53,0.48,0.5,0.5,0.51,0.56,0.51,0.48,0.54
Czech,gender,TRUE,RF,0.65,0.72,0.61,0.68,0.64,0.63,0.7,0.65,0.66,0.68,0.59,0.59
Czech,gender,TRUE,NN,0.61,0.62,0.61,0.67,0.6,0.65,0.66,0.61,0.66,0.56,0.64,0.66
Czech,gender,TRUE,DT,0.5,0.6,0.48,0.52,0.52,0.55,0.59,0.57,0.48,0.55,0.54,0.56
Czech,case,FALSE,RF,0.42,0.44,0.39,0.44,0.44,0.46,0.43,0.42,0.36,0.53,0.49,0.43
Czech,case,FALSE,NN,0.34,0.39,0.39,0.37,0.37,0.39,0.37,0.41,0.32,0.41,0.41,0.4
Czech,case,FALSE,DT,0.37,0.37,0.34,0.37,0.42,0.39,0.37,0.38,0.34,0.46,0.43,0.37
Czech,case,TRUE,RF,0.53,0.47,0.55,0.51,0.55,0.54,0.56,0.52,0.47,0.62,0.57,0.53
Czech,case,TRUE,NN,0.43,0.44,0.39,0.39,0.41,0.47,0.47,0.45,0.38,0.46,0.41,0.45
Czech,case,TRUE,DT,0.52,0.47,0.48,0.47,0.46,0.43,0.54,0.47,0.46,0.47,0.45,0.48
