lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,sk2gram-no-hash,sk3gram-no-hash,sk4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,sk2gram-hash-at-both,sk3gram-hash-at-both,sk4gram-hash-at-both
Irish,plurality,False,RF,0.69,0.73,0.69,0.72,0.70,0.70,0.66,0.72,0.66,0.64,0.71,0.68
Irish,plurality,False,NN,0.64,0.67,0.65,0.63,0.66,0.61,0.66,0.58,0.58,0.62,0.64,0.59
Irish,plurality,False,DT,0.65,0.70,0.70,0.67,0.66,0.66,0.62,0.69,0.59,0.62,0.69,0.66
Irish,plurality,True,RF,0.73,0.71,0.72,0.76,0.69,0.72,0.73,0.74,0.66,0.70,0.71,0.73
Irish,plurality,True,NN,0.69,0.69,0.67,0.69,0.68,0.60,0.69,0.69,0.62,0.66,0.74,0.63
Irish,plurality,True,DT,0.64,0.67,0.72,0.67,0.65,0.70,0.65,0.69,0.63,0.68,0.69,0.63
Irish,gender,False,RF,0.73,0.71,0.76,0.75,0.73,0.78,0.72,0.76,0.73,0.71,0.67,0.76
Irish,gender,False,NN,0.70,0.71,0.71,0.71,0.75,0.79,0.64,0.75,0.74,0.72,0.74,0.72
Irish,gender,False,DT,0.69,0.68,0.76,0.72,0.70,0.74,0.65,0.69,0.69,0.70,0.71,0.75
Irish,gender,True,RF,0.80,0.75,0.78,0.84,0.75,0.78,0.76,0.78,0.76,0.79,0.72,0.80
Irish,gender,True,NN,0.78,0.73,0.74,0.76,0.75,0.81,0.74,0.75,0.76,0.74,0.75,0.74
Irish,gender,True,DT,0.76,0.69,0.75,0.77,0.70,0.74,0.65,0.78,0.76,0.78,0.67,0.75
Irish,case,False,RF,0.97,0.97,0.98,0.96,0.96,0.95,0.97,0.97,0.97,0.97,0.97,0.97
Irish,case,False,NN,0.97,0.97,0.98,0.96,0.96,0.95,0.97,0.97,0.97,0.97,0.97,0.97
Irish,case,False,DT,0.96,0.96,0.94,0.94,0.97,0.94,0.96,0.97,0.97,0.97,0.97,0.97
Irish,case,True,RF,0.97,0.97,0.97,0.96,0.96,0.95,0.97,0.97,0.97,0.98,0.97,0.97
Irish,case,True,NN,0.97,0.97,0.98,0.96,0.96,0.95,0.97,0.97,0.97,0.97,0.97,0.97
Irish,case,True,DT,0.98,0.97,0.97,0.96,0.95,0.94,0.97,0.97,0.97,0.97,0.97,0.97
