lang,attribute,supplement,method,2g-no-hash,3g-no-hash,4g-no-hash,sk2g-no-hash,sk3g-no-hash,sk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,sk2g-hash-at-both,sk3g-hash-at-both,sk4g-hash-at-both
Czech,plurality,FALSE,RF,0.89,0.82,0.88,0.78,0.81,0.85,0.8,0.79,0.81,0.82,0.82,0.79
Czech,plurality,FALSE,NN,0.85,0.8,0.81,0.79,0.77,0.84,0.78,0.79,0.8,0.81,0.8,0.74
Czech,plurality,FALSE,DT,0.87,0.82,0.82,0.77,0.81,0.86,0.81,0.81,0.82,0.76,0.76,0.77
Czech,plurality,TRUE,RF,0.92,0.85,0.93,0.86,0.82,0.87,0.86,0.86,0.88,0.86,0.83,0.85
Czech,plurality,TRUE,NN,0.89,0.81,0.88,0.86,0.79,0.87,0.85,0.82,0.86,0.83,0.83,0.82
Czech,plurality,TRUE,DT,0.89,0.85,0.9,0.81,0.81,0.9,0.83,0.78,0.82,0.81,0.81,0.78
Czech,gender,FALSE,RF,0.62,0.58,0.65,0.61,0.52,0.67,0.55,0.67,0.7,0.55,0.51,0.59
Czech,gender,FALSE,NN,0.61,0.6,0.64,0.64,0.67,0.61,0.61,0.65,0.7,0.59,0.66,0.65
Czech,gender,FALSE,DT,0.54,0.43,0.51,0.55,0.48,0.51,0.57,0.51,0.56,0.47,0.46,0.44
Czech,gender,TRUE,RF,0.56,0.59,0.65,0.66,0.59,0.69,0.69,0.69,0.75,0.61,0.6,0.61
Czech,gender,TRUE,NN,0.64,0.59,0.65,0.61,0.61,0.65,0.6,0.64,0.71,0.58,0.64,0.68
Czech,gender,TRUE,DT,0.51,0.53,0.56,0.48,0.56,0.62,0.53,0.55,0.58,0.49,0.45,0.49
Czech,case,FALSE,RF,0.44,0.47,0.42,0.45,0.43,0.44,0.41,0.46,0.38,0.46,0.46,0.49
Czech,case,FALSE,NN,0.34,0.41,0.39,0.38,0.34,0.41,0.39,0.4,0.39,0.33,0.39,0.37
Czech,case,FALSE,DT,0.37,0.41,0.38,0.39,0.39,0.43,0.41,0.39,0.34,0.37,0.36,0.42
Czech,case,TRUE,RF,0.59,0.52,0.57,0.52,0.53,0.54,0.58,0.54,0.45,0.55,0.54,0.54
Czech,case,TRUE,NN,0.49,0.48,0.45,0.45,0.38,0.44,0.41,0.43,0.41,0.43,0.43,0.44
Czech,case,TRUE,DT,0.48,0.42,0.39,0.48,0.46,0.42,0.45,0.49,0.47,0.51,0.39,0.45
