lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,sk2gram-no-hash,sk3gram-no-hash,sk4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,sk2gram-hash-at-both,sk3gram-hash-at-both,sk4gram-hash-at-both
French,plurality,False,RF,0.92,0.91,0.89,0.91,0.91,0.91,0.92,0.94,0.93,0.94,0.93,0.89
French,plurality,False,NN,0.92,0.91,0.94,0.94,0.95,0.93,0.92,0.91,0.94,0.97,0.97,0.92
French,plurality,False,DT,0.87,0.89,0.91,0.91,0.84,0.87,0.90,0.84,0.88,0.89,0.86,0.78
French,plurality,True,RF,0.90,0.91,0.94,0.90,0.91,0.90,0.93,0.94,0.93,0.96,0.94,0.89
French,plurality,True,NN,0.90,0.95,0.92,0.93,0.95,0.93,0.91,0.92,0.92,0.96,0.97,0.91
French,plurality,True,DT,0.90,0.89,0.91,0.85,0.89,0.89,0.89,0.89,0.85,0.93,0.90,0.87
French,gender,False,RF,0.77,0.74,0.76,0.82,0.76,0.77,0.80,0.80,0.73,0.81,0.73,0.81
French,gender,False,NN,0.78,0.78,0.72,0.79,0.78,0.76,0.79,0.73,0.75,0.78,0.76,0.76
French,gender,False,DT,0.71,0.69,0.67,0.68,0.71,0.69,0.72,0.69,0.66,0.68,0.71,0.76
French,gender,True,RF,0.77,0.78,0.76,0.81,0.80,0.79,0.78,0.81,0.76,0.80,0.74,0.77
French,gender,True,NN,0.78,0.76,0.74,0.79,0.78,0.73,0.76,0.74,0.69,0.79,0.74,0.77
French,gender,True,DT,0.69,0.70,0.74,0.72,0.69,0.68,0.70,0.72,0.74,0.68,0.68,0.67
