lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,sk2gram-no-hash,sk3gram-no-hash,sk4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,sk2gram-hash-at-both,sk3gram-hash-at-both,sk4gram-hash-at-both
German,plurality,False,RF,0.81,0.80,0.82,0.78,0.78,0.80,0.79,0.78,0.81,0.84,0.82,0.79
German,plurality,False,NN,0.76,0.76,0.80,0.74,0.74,0.78,0.76,0.77,0.81,0.84,0.80,0.76
German,plurality,False,DT,0.74,0.75,0.81,0.74,0.79,0.77,0.74,0.72,0.81,0.84,0.78,0.76
German,plurality,True,RF,0.83,0.84,0.83,0.83,0.80,0.81,0.85,0.83,0.88,0.87,0.86,0.81
German,plurality,True,NN,0.81,0.84,0.80,0.78,0.78,0.79,0.80,0.81,0.82,0.89,0.82,0.74
German,plurality,True,DT,0.80,0.80,0.81,0.74,0.75,0.79,0.84,0.83,0.80,0.83,0.77,0.82
German,gender,False,RF,0.62,0.58,0.55,0.57,0.55,0.56,0.49,0.62,0.52,0.53,0.50,0.60
German,gender,False,NN,0.54,0.54,0.59,0.60,0.56,0.55,0.53,0.57,0.47,0.49,0.51,0.56
German,gender,False,DT,0.52,0.50,0.45,0.48,0.56,0.49,0.54,0.57,0.51,0.46,0.46,0.59
German,gender,True,RF,0.61,0.60,0.57,0.61,0.57,0.58,0.59,0.63,0.56,0.59,0.50,0.62
German,gender,True,NN,0.57,0.59,0.53,0.57,0.54,0.61,0.55,0.58,0.51,0.56,0.52,0.54
German,gender,True,DT,0.58,0.54,0.53,0.48,0.57,0.54,0.48,0.50,0.50,0.47,0.51,0.52
German,case,False,RF,0.45,0.34,0.33,0.34,0.39,0.43,0.33,0.38,0.33,0.34,0.42,0.40
German,case,False,NN,0.32,0.32,0.29,0.36,0.39,0.34,0.31,0.37,0.34,0.34,0.36,0.34
German,case,False,DT,0.43,0.34,0.38,0.33,0.32,0.39,0.33,0.39,0.28,0.35,0.40,0.34
German,case,True,RF,0.42,0.42,0.41,0.43,0.36,0.46,0.34,0.40,0.38,0.35,0.42,0.41
German,case,True,NN,0.41,0.28,0.24,0.36,0.35,0.36,0.33,0.34,0.40,0.34,0.39,0.38
German,case,True,DT,0.38,0.43,0.29,0.38,0.34,0.42,0.39,0.36,0.38,0.39,0.42,0.33
