lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,sk2g-no-hash,sk3g-no-hash,sk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,sk2g-hash-at-both,sk3g-hash-at-both,sk4g-hash-at-both,max
Czech,1,plurality,True,1,DT,0.87,0.85,0.89,0.87,0.82,0.80,0.87,0.85,0.84,0.89,0.79,0.86,
Czech,1,plurality,False,2,RF,0.80,0.84,0.85,0.85,0.83,0.80,0.85,0.81,0.83,0.85,0.83,0.81,
Czech,1,plurality,False,3,NN,0.78,0.81,0.78,0.83,0.86,0.81,0.86,0.82,0.80,0.79,0.85,0.80,
Czech,1,plurality,False,1,DT,0.77,0.84,0.83,0.83,0.82,0.82,0.84,0.80,0.77,0.83,0.81,0.80,
Czech,1,plurality,True,2,RF,0.87,0.87,0.88,0.91,0.83,0.87,0.91,0.89,0.87,0.89,0.86,0.90,
Czech,1,plurality,True,3,NN,0.86,0.87,0.89,0.89,0.85,0.87,0.94,0.91,0.86,0.88,0.87,0.88,
Czech,2,gender,True,2,RF,0.71,0.70,0.67,0.69,0.59,0.67,0.72,0.71,0.66,0.71,0.64,0.70,
Czech,2,gender,True,1,DT,0.59,0.55,0.52,0.51,0.54,0.58,0.57,0.55,0.50,0.51,0.50,0.54,
Czech,2,gender,True,3,NN,0.72,0.67,0.68,0.70,0.71,0.70,0.68,0.70,0.70,0.71,0.70,0.70,
Czech,2,gender,False,2,RF,0.69,0.68,0.66,0.64,0.55,0.65,0.67,0.62,0.56,0.63,0.63,0.66,
Czech,2,gender,False,3,NN,0.71,0.65,0.71,0.68,0.71,0.67,0.63,0.72,0.68,0.64,0.70,0.68,
Czech,2,gender,False,1,DT,0.61,0.53,0.52,0.55,0.43,0.54,0.55,0.56,0.48,0.47,0.48,0.58,
Czech,3,case,True,1,DT,0.43,0.49,0.48,0.44,0.47,0.46,0.54,0.49,0.50,0.48,0.38,0.42,
Czech,3,case,True,3,NN,0.51,0.49,0.49,0.53,0.44,0.38,0.51,0.54,0.51,0.50,0.44,0.48,
Czech,3,case,False,1,DT,0.43,0.45,0.40,0.42,0.44,0.35,0.37,0.40,0.43,0.41,0.41,0.41,
Czech,3,case,False,2,RF,0.43,0.49,0.42,0.48,0.50,0.40,0.43,0.45,0.48,0.46,0.45,0.44,
Czech,3,case,False,3,NN,0.34,0.40,0.38,0.44,0.43,0.34,0.37,0.42,0.41,0.41,0.35,0.42,
Czech,3,case,True,2,RF,0.48,0.53,0.49,0.55,0.56,0.48,0.52,0.59,0.59,0.51,0.56,0.56,
