lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,sk2gram-no-hash,sk3gram-no-hash,sk4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,sk2gram-hash-at-both,sk3gram-hash-at-both,sk4gram-hash-at-both
French,plurality,False,RF,0.93,0.94,0.92,0.93,0.92,0.91,0.92,0.95,0.94,0.94,0.92,0.93
French,plurality,False,NN,0.94,0.95,0.96,0.95,0.96,0.94,0.94,0.94,0.94,0.96,0.97,0.95
French,plurality,False,DT,0.93,0.89,0.89,0.88,0.86,0.75,0.90,0.93,0.90,0.87,0.90,0.90
French,plurality,True,RF,0.91,0.95,0.94,0.93,0.92,0.90,0.92,0.95,0.94,0.93,0.91,0.93
French,plurality,True,NN,0.92,0.94,0.97,0.95,0.96,0.95,0.92,0.94,0.93,0.96,0.96,0.94
French,plurality,True,DT,0.90,0.92,0.93,0.93,0.87,0.86,0.87,0.92,0.89,0.88,0.90,0.89
French,gender,False,RF,0.83,0.79,0.82,0.78,0.73,0.80,0.81,0.79,0.78,0.83,0.73,0.76
French,gender,False,NN,0.78,0.77,0.81,0.75,0.76,0.76,0.79,0.72,0.80,0.79,0.82,0.72
French,gender,False,DT,0.75,0.74,0.72,0.72,0.65,0.72,0.73,0.69,0.68,0.74,0.66,0.70
French,gender,True,RF,0.83,0.74,0.81,0.80,0.75,0.80,0.81,0.80,0.80,0.82,0.77,0.76
French,gender,True,NN,0.77,0.77,0.81,0.77,0.78,0.78,0.83,0.75,0.77,0.82,0.82,0.74
French,gender,True,DT,0.74,0.73,0.74,0.73,0.62,0.70,0.77,0.75,0.74,0.75,0.71,0.69
