lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,sk2gram-no-hash,sk3gram-no-hash,sk4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,sk2gram-hash-at-both,sk3gram-hash-at-both,sk4gram-hash-at-both
German,plurality,False,RF,0.76,0.81,0.82,0.84,0.78,0.82,0.79,0.80,0.81,0.81,0.79,0.82
German,plurality,False,NN,0.74,0.79,0.80,0.82,0.79,0.79,0.76,0.79,0.82,0.79,0.75,0.74
German,plurality,False,DT,0.75,0.75,0.78,0.79,0.76,0.77,0.75,0.79,0.78,0.78,0.71,0.79
German,plurality,True,RF,0.82,0.84,0.83,0.88,0.84,0.82,0.84,0.82,0.82,0.85,0.80,0.85
German,plurality,True,NN,0.81,0.82,0.81,0.85,0.77,0.78,0.83,0.83,0.84,0.82,0.75,0.79
German,plurality,True,DT,0.78,0.81,0.83,0.80,0.74,0.80,0.83,0.78,0.81,0.81,0.77,0.81
German,gender,False,RF,0.59,0.55,0.60,0.58,0.57,0.57,0.59,0.54,0.59,0.64,0.55,0.57
German,gender,False,NN,0.56,0.56,0.59,0.53,0.58,0.59,0.52,0.62,0.60,0.57,0.60,0.54
German,gender,False,DT,0.53,0.53,0.50,0.42,0.51,0.53,0.52,0.48,0.51,0.49,0.47,0.52
German,gender,True,RF,0.61,0.61,0.66,0.60,0.57,0.59,0.57,0.59,0.58,0.65,0.57,0.59
German,gender,True,NN,0.57,0.58,0.61,0.57,0.63,0.62,0.58,0.59,0.60,0.62,0.63,0.54
German,gender,True,DT,0.56,0.54,0.56,0.47,0.52,0.48,0.56,0.54,0.51,0.48,0.47,0.51
German,case,False,RF,0.41,0.37,0.40,0.38,0.39,0.44,0.38,0.42,0.41,0.43,0.38,0.42
German,case,False,NN,0.37,0.32,0.39,0.35,0.39,0.38,0.35,0.35,0.37,0.40,0.39,0.36
German,case,False,DT,0.42,0.39,0.39,0.41,0.39,0.36,0.35,0.39,0.38,0.36,0.38,0.39
German,case,True,RF,0.40,0.42,0.44,0.42,0.40,0.43,0.36,0.43,0.41,0.43,0.40,0.45
German,case,True,NN,0.33,0.35,0.37,0.35,0.36,0.35,0.33,0.41,0.34,0.43,0.39,0.39
German,case,True,DT,0.37,0.41,0.39,0.34,0.40,0.38,0.37,0.43,0.41,0.37,0.37,0.41
