lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,sk2gram-no-hash,sk3gram-no-hash,sk4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,sk2gram-hash-at-both,sk3gram-hash-at-both,sk4gram-hash-at-both
Irish,plurality,False,RF,0.64,0.69,0.70,0.70,0.74,0.70,0.67,0.72,0.68,0.71,0.75,0.66
Irish,plurality,False,NN,0.58,0.64,0.61,0.61,0.65,0.65,0.59,0.65,0.65,0.69,0.68,0.66
Irish,plurality,False,DT,0.64,0.66,0.61,0.67,0.68,0.71,0.67,0.68,0.69,0.68,0.66,0.63
Irish,plurality,True,RF,0.72,0.69,0.73,0.71,0.72,0.72,0.73,0.73,0.70,0.74,0.76,0.69
Irish,plurality,True,NN,0.71,0.66,0.70,0.66,0.68,0.69,0.72,0.70,0.71,0.73,0.72,0.70
Irish,plurality,True,DT,0.63,0.65,0.68,0.68,0.72,0.72,0.66,0.72,0.67,0.72,0.70,0.68
Irish,gender,False,RF,0.77,0.74,0.74,0.75,0.72,0.78,0.70,0.76,0.72,0.74,0.78,0.77
Irish,gender,False,NN,0.71,0.73,0.75,0.73,0.73,0.79,0.75,0.72,0.70,0.71,0.76,0.73
Irish,gender,False,DT,0.71,0.73,0.70,0.70,0.70,0.75,0.74,0.72,0.66,0.70,0.77,0.69
Irish,gender,True,RF,0.87,0.78,0.79,0.80,0.74,0.80,0.79,0.83,0.80,0.78,0.80,0.80
Irish,gender,True,NN,0.80,0.78,0.78,0.77,0.75,0.80,0.77,0.79,0.73,0.77,0.78,0.78
Irish,gender,True,DT,0.81,0.74,0.76,0.72,0.71,0.74,0.76,0.77,0.71,0.72,0.75,0.77
Irish,case,False,RF,0.97,0.97,0.97,0.98,0.98,0.97,0.98,0.97,0.98,0.96,0.96,0.98
Irish,case,False,NN,0.97,0.97,0.97,0.98,0.98,0.97,0.98,0.97,0.98,0.96,0.96,0.98
Irish,case,False,DT,0.96,0.97,0.95,0.97,0.98,0.96,0.96,0.97,0.98,0.96,0.96,0.98
Irish,case,True,RF,0.97,0.97,0.97,0.98,0.98,0.97,0.98,0.97,0.98,0.96,0.96,0.98
Irish,case,True,NN,0.97,0.97,0.97,0.98,0.98,0.97,0.98,0.97,0.98,0.96,0.96,0.98
Irish,case,True,DT,0.96,0.96,0.96,0.98,0.95,0.97,0.98,0.97,0.98,0.96,0.96,0.98
