lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
French,1,plurality,True,1,DT,0.85,0.86,0.91,0.88,0.83,0.93,0.93,0.92,0.87,0.90,0.88,0.85,
French,1,plurality,True,2,RF,0.89,0.91,0.90,0.94,0.93,0.95,0.95,0.94,0.89,0.93,0.97,0.90,
French,1,plurality,True,3,NN,0.86,0.93,0.91,0.92,0.90,0.94,0.93,0.97,0.89,0.93,0.95,0.94,
French,1,plurality,False,1,DT,0.82,0.83,0.88,0.93,0.82,0.87,0.91,0.92,0.85,0.84,0.89,0.82,
French,1,plurality,False,2,RF,0.91,0.89,0.91,0.97,0.91,0.96,0.93,0.94,0.89,0.92,0.96,0.92,
French,1,plurality,False,3,NN,0.91,0.90,0.92,0.95,0.82,0.93,0.93,0.97,0.88,0.94,0.97,0.90,
French,2,gender,True,1,DT,0.73,0.62,0.68,0.71,0.70,0.58,0.68,0.68,0.68,0.76,0.69,0.68,
French,2,gender,True,2,RF,0.81,0.78,0.78,0.76,0.81,0.77,0.76,0.73,0.75,0.83,0.77,0.74,
French,2,gender,True,3,NN,0.75,0.74,0.72,0.68,0.76,0.70,0.74,0.75,0.75,0.77,0.76,0.77,
French,2,gender,False,1,DT,0.68,0.67,0.68,0.66,0.74,0.64,0.74,0.68,0.64,0.68,0.62,0.64,
French,2,gender,False,2,RF,0.76,0.79,0.78,0.78,0.79,0.79,0.71,0.73,0.77,0.82,0.76,0.75,
French,2,gender,False,3,NN,0.78,0.75,0.73,0.73,0.71,0.68,0.75,0.70,0.71,0.78,0.77,0.69,
