lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
Czech,1,plurality,True,1,DT,0.88,0.85,0.83,0.84,0.83,0.83,0.87,0.83,0.88,0.74,0.80,0.85,
Czech,1,plurality,False,2,RF,0.86,0.83,0.80,0.87,0.85,0.88,0.84,0.79,0.85,0.81,0.81,0.83,
Czech,1,plurality,False,3,NN,0.81,0.78,0.81,0.84,0.83,0.88,0.78,0.79,0.80,0.77,0.78,0.80,
Czech,1,plurality,False,1,DT,0.81,0.83,0.81,0.85,0.81,0.86,0.82,0.76,0.82,0.78,0.81,0.81,
Czech,1,plurality,True,2,RF,0.93,0.86,0.85,0.85,0.84,0.91,0.92,0.86,0.91,0.89,0.85,0.89,
Czech,1,plurality,True,3,NN,0.92,0.88,0.86,0.81,0.86,0.87,0.85,0.83,0.87,0.79,0.82,0.80,
Czech,2,gender2,True,2,RF,0.92,0.89,0.88,0.91,0.91,0.89,0.92,0.86,0.93,0.90,0.91,0.88,
Czech,2,gender2,True,1,DT,0.88,0.80,0.86,0.84,0.58,0.82,0.89,0.70,0.92,0.85,0.60,0.59,
Czech,2,gender2,True,3,NN,0.93,0.91,0.91,0.94,0.89,0.89,0.93,0.88,0.94,0.91,0.86,0.91,
Czech,2,gender2,False,2,RF,0.67,0.68,0.67,0.69,0.67,0.65,0.66,0.64,0.73,0.67,0.69,0.73,
Czech,2,gender2,False,3,NN,0.65,0.74,0.68,0.73,0.68,0.69,0.63,0.73,0.71,0.73,0.69,0.72,
Czech,2,gender2,False,1,DT,0.66,0.64,0.58,0.61,0.59,0.58,0.59,0.58,0.60,0.62,0.59,0.56,
Czech,3,case,True,1,DT,0.53,0.45,0.48,0.53,0.33,0.38,0.48,0.47,0.45,0.46,0.42,0.32,
Czech,3,case,True,3,NN,0.43,0.42,0.44,0.33,0.37,0.36,0.43,0.45,0.41,0.42,0.38,0.33,
Czech,3,case,False,1,DT,0.43,0.40,0.39,0.33,0.39,0.36,0.36,0.41,0.41,0.38,0.42,0.29,
Czech,3,case,False,2,RF,0.45,0.43,0.42,0.39,0.39,0.47,0.39,0.47,0.41,0.44,0.42,0.39,
Czech,3,case,False,3,NN,0.31,0.42,0.44,0.34,0.34,0.33,0.38,0.36,0.34,0.40,0.39,0.32,
Czech,3,case,True,2,RF,0.51,0.51,0.53,0.48,0.43,0.54,0.53,0.48,0.49,0.51,0.51,0.49,
