lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
Irish,1,plurality,True,1,DT,0.61,0.66,0.64,0.63,0.62,0.63,0.70,0.69,0.74,0.66,0.64,0.65,
Irish,1,plurality,False,2,RF,0.62,0.70,0.67,0.71,0.70,0.63,0.70,0.67,0.70,0.65,0.69,0.66,
Irish,1,plurality,False,3,NN,0.58,0.66,0.54,0.62,0.65,0.60,0.61,0.59,0.66,0.59,0.59,0.59,
Irish,1,plurality,False,1,DT,0.60,0.67,0.64,0.68,0.68,0.65,0.69,0.67,0.71,0.57,0.65,0.62,
Irish,1,plurality,True,2,RF,0.72,0.73,0.69,0.72,0.70,0.66,0.73,0.68,0.74,0.70,0.70,0.69,
Irish,1,plurality,True,3,NN,0.66,0.71,0.59,0.64,0.68,0.60,0.73,0.64,0.76,0.62,0.64,0.65,
Irish,2,gender2,True,2,RF,0.86,0.77,0.79,0.80,0.73,0.77,0.78,0.77,0.73,0.79,0.70,0.78,
Irish,2,gender2,True,1,DT,0.79,0.77,0.76,0.73,0.69,0.69,0.79,0.74,0.69,0.69,0.67,0.67,
Irish,2,gender2,True,3,NN,0.80,0.73,0.75,0.79,0.73,0.72,0.75,0.77,0.71,0.78,0.67,0.74,
Irish,2,gender2,False,2,RF,0.78,0.72,0.76,0.76,0.71,0.73,0.74,0.73,0.69,0.80,0.70,0.76,
Irish,2,gender2,False,3,NN,0.74,0.68,0.71,0.76,0.69,0.70,0.71,0.71,0.67,0.76,0.70,0.66,
Irish,2,gender2,False,1,DT,0.72,0.70,0.70,0.74,0.67,0.70,0.67,0.70,0.62,0.72,0.63,0.72,
Irish,3,case,True,1,DT,0.96,0.96,0.97,0.98,0.95,0.95,0.94,0.95,0.95,0.96,0.96,0.98,
Irish,3,case,True,3,NN,0.95,0.97,0.98,0.98,0.95,0.95,0.96,0.97,0.96,0.96,0.97,0.98,
Irish,3,case,False,1,DT,0.95,0.96,0.98,0.97,0.95,0.95,0.96,0.96,0.95,0.96,0.96,0.98,
Irish,3,case,False,2,RF,0.95,0.97,0.98,0.98,0.95,0.95,0.96,0.97,0.96,0.96,0.97,0.98,
Irish,3,case,False,3,NN,0.95,0.97,0.98,0.98,0.95,0.95,0.96,0.97,0.96,0.96,0.97,0.98,
Irish,3,case,True,2,RF,0.95,0.97,0.98,0.98,0.95,0.95,0.97,0.97,0.96,0.96,0.97,0.97,
