lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
Czech,1,plurality,True,1,DT,0.86,0.87,0.79,0.87,0.81,0.75,0.84,0.83,0.84,0.82,0.83,0.82,
Czech,1,plurality,True,3,NN,0.87,0.86,0.86,0.87,0.87,0.77,0.89,0.85,0.86,0.82,0.81,0.82,
Czech,1,plurality,True,2,RF,0.89,0.86,0.87,0.89,0.87,0.83,0.84,0.89,0.87,0.88,0.86,0.86,
Czech,1,plurality,False,2,RF,0.84,0.82,0.82,0.84,0.85,0.79,0.81,0.85,0.81,0.83,0.83,0.82,
Czech,1,plurality,False,3,NN,0.80,0.80,0.76,0.87,0.85,0.77,0.76,0.77,0.78,0.80,0.81,0.79,
Czech,1,plurality,False,1,DT,0.84,0.82,0.80,0.86,0.84,0.76,0.74,0.81,0.80,0.81,0.82,0.77,
Czech,2,gender,True,3,NN,0.66,0.66,0.69,0.72,0.71,0.65,0.67,0.69,0.68,0.65,0.71,0.68,
Czech,2,gender,False,2,RF,0.61,0.63,0.68,0.63,0.68,0.61,0.68,0.68,0.70,0.66,0.62,0.62,
Czech,2,gender,False,1,DT,0.51,0.58,0.55,0.55,0.55,0.50,0.62,0.54,0.54,0.54,0.52,0.50,
Czech,2,gender,False,3,NN,0.60,0.69,0.69,0.70,0.70,0.70,0.64,0.65,0.68,0.70,0.68,0.69,
Czech,2,gender,True,1,DT,0.56,0.59,0.43,0.58,0.58,0.45,0.59,0.56,0.61,0.50,0.51,0.58,
Czech,2,gender,True,2,RF,0.58,0.67,0.73,0.68,0.72,0.65,0.71,0.69,0.71,0.66,0.69,0.67,
Czech,3,case,True,1,DT,0.48,0.35,0.50,0.43,0.46,0.33,0.53,0.57,0.46,0.38,0.48,0.35,
Czech,3,case,True,3,NN,0.52,0.47,0.51,0.40,0.44,0.39,0.49,0.50,0.54,0.43,0.45,0.40,
Czech,3,case,False,2,RF,0.48,0.47,0.44,0.39,0.48,0.44,0.39,0.48,0.43,0.41,0.47,0.46,
Czech,3,case,True,2,RF,0.57,0.55,0.51,0.46,0.54,0.50,0.56,0.61,0.56,0.51,0.52,0.54,
Czech,3,case,False,1,DT,0.40,0.43,0.38,0.34,0.38,0.35,0.37,0.42,0.39,0.37,0.40,0.36,
Czech,3,case,False,3,NN,0.39,0.41,0.41,0.39,0.41,0.37,0.37,0.38,0.40,0.41,0.43,0.35,
