lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
German,1,plurality,True,1,DT,0.75,0.84,0.85,0.78,0.79,0.79,0.80,0.80,0.76,0.78,0.79,0.77,
German,1,plurality,True,3,NN,0.84,0.84,0.83,0.82,0.78,0.78,0.82,0.82,0.80,0.80,0.79,0.80,
German,1,plurality,True,2,RF,0.85,0.89,0.85,0.82,0.84,0.85,0.83,0.81,0.85,0.85,0.85,0.81,
German,1,plurality,False,2,RF,0.80,0.86,0.83,0.82,0.82,0.82,0.81,0.80,0.80,0.81,0.85,0.81,
German,1,plurality,False,3,NN,0.81,0.80,0.79,0.79,0.78,0.80,0.78,0.78,0.77,0.76,0.78,0.78,
German,1,plurality,False,1,DT,0.79,0.84,0.79,0.78,0.74,0.74,0.77,0.76,0.76,0.78,0.81,0.78,
German,2,gender,True,3,NN,0.55,0.59,0.64,0.58,0.58,0.60,0.57,0.53,0.64,0.59,0.55,0.61,
German,2,gender,False,2,RF,0.59,0.60,0.66,0.54,0.61,0.59,0.56,0.62,0.55,0.63,0.59,0.57,
German,2,gender,False,1,DT,0.51,0.55,0.57,0.49,0.51,0.51,0.50,0.51,0.51,0.55,0.51,0.55,
German,2,gender,False,3,NN,0.54,0.56,0.65,0.53,0.62,0.63,0.57,0.55,0.58,0.56,0.60,0.58,
German,2,gender,True,1,DT,0.55,0.53,0.56,0.53,0.53,0.53,0.51,0.54,0.58,0.51,0.54,0.51,
German,2,gender,True,2,RF,0.63,0.61,0.66,0.62,0.61,0.60,0.61,0.62,0.56,0.64,0.59,0.57,
German,3,case,True,1,DT,0.34,0.36,0.35,0.38,0.40,0.33,0.33,0.41,0.39,0.43,0.36,0.34,
German,3,case,True,3,NN,0.34,0.33,0.35,0.35,0.32,0.34,0.38,0.36,0.36,0.40,0.38,0.37,
German,3,case,False,2,RF,0.40,0.38,0.39,0.46,0.39,0.40,0.38,0.41,0.42,0.47,0.44,0.41,
German,3,case,True,2,RF,0.44,0.39,0.41,0.46,0.38,0.39,0.46,0.42,0.41,0.45,0.43,0.41,
German,3,case,False,1,DT,0.35,0.35,0.42,0.37,0.34,0.32,0.36,0.40,0.34,0.37,0.35,0.33,
German,3,case,False,3,NN,0.35,0.33,0.37,0.37,0.36,0.34,0.29,0.34,0.34,0.37,0.36,0.39,
