lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,sk2g-no-hash,sk3g-no-hash,sk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,sk2g-hash-at-both,sk3g-hash-at-both,sk4g-hash-at-both,max
German,1,plurality,True,3,NN,0.78,0.83,0.81,0.81,0.79,0.76,0.85,0.86,0.85,0.84,0.82,0.76,
German,1,plurality,False,1,DT,0.72,0.81,0.73,0.80,0.74,0.74,0.78,0.80,0.80,0.78,0.75,0.78,
German,1,plurality,False,3,NN,0.70,0.80,0.77,0.80,0.78,0.79,0.84,0.78,0.80,0.83,0.81,0.75,
German,1,plurality,True,2,RF,0.78,0.87,0.81,0.84,0.80,0.77,0.87,0.84,0.85,0.84,0.84,0.82,
German,1,plurality,False,2,RF,0.76,0.81,0.79,0.84,0.78,0.75,0.83,0.82,0.83,0.83,0.84,0.83,
German,1,plurality,True,1,DT,0.76,0.82,0.75,0.79,0.76,0.76,0.86,0.83,0.79,0.79,0.79,0.71,
German,2,gender,False,3,NN,0.56,0.57,0.57,0.58,0.56,0.56,0.54,0.59,0.61,0.60,0.61,0.55,
German,2,gender,False,2,RF,0.57,0.56,0.52,0.59,0.54,0.57,0.58,0.49,0.61,0.59,0.54,0.55,
German,2,gender,True,1,DT,0.47,0.52,0.49,0.55,0.47,0.49,0.54,0.55,0.53,0.48,0.50,0.43,
German,2,gender,True,3,NN,0.56,0.55,0.61,0.59,0.56,0.54,0.58,0.63,0.63,0.59,0.62,0.56,
German,2,gender,True,2,RF,0.58,0.58,0.59,0.63,0.56,0.56,0.64,0.60,0.61,0.59,0.58,0.56,
German,2,gender,False,1,DT,0.52,0.51,0.51,0.51,0.48,0.47,0.51,0.55,0.52,0.51,0.51,0.45,
German,3,case,False,2,RF,0.36,0.40,0.36,0.43,0.39,0.40,0.41,0.43,0.41,0.42,0.41,0.43,
German,3,case,True,2,RF,0.41,0.41,0.37,0.46,0.41,0.41,0.43,0.47,0.39,0.42,0.44,0.41,
German,3,case,False,1,DT,0.34,0.34,0.33,0.38,0.36,0.37,0.45,0.35,0.36,0.36,0.38,0.36,
German,3,case,True,1,DT,0.37,0.35,0.35,0.39,0.38,0.34,0.42,0.39,0.36,0.41,0.36,0.41,
German,3,case,True,3,NN,0.34,0.36,0.35,0.33,0.42,0.37,0.40,0.40,0.38,0.42,0.43,0.41,
German,3,case,False,3,NN,0.33,0.35,0.32,0.31,0.37,0.38,0.34,0.37,0.39,0.37,0.41,0.43,
