lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,sk2g-no-hash,sk3g-no-hash,sk4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,sk2g-hash-at-both,sk3g-hash-at-both,sk4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
Czech,1,plurality,True,1,DT,0.90,0.87,0.81,0.88,0.84,0.78,0.87,0.80,0.88,0.88,0.87,0.78,0.85,0.85,0.87,0.83,0.85,0.83,
Czech,1,plurality,False,2,RF,0.83,0.87,0.82,0.84,0.85,0.85,0.83,0.85,0.86,0.86,0.84,0.79,0.83,0.88,0.86,0.85,0.87,0.83,
Czech,1,plurality,False,3,NN,0.82,0.83,0.80,0.81,0.81,0.83,0.83,0.87,0.85,0.79,0.80,0.78,0.81,0.87,0.84,0.85,0.88,0.83,
Czech,1,plurality,False,1,DT,0.78,0.85,0.79,0.79,0.80,0.84,0.81,0.83,0.86,0.82,0.81,0.76,0.80,0.83,0.83,0.82,0.82,0.82,
Czech,1,plurality,True,2,RF,0.93,0.89,0.88,0.88,0.88,0.88,0.89,0.85,0.89,0.90,0.88,0.84,0.89,0.90,0.90,0.89,0.90,0.87,
Czech,1,plurality,True,3,NN,0.89,0.89,0.87,0.91,0.85,0.82,0.84,0.87,0.87,0.91,0.86,0.82,0.89,0.90,0.86,0.87,0.86,0.85,
Czech,2,gender,True,2,RF,0.93,0.92,0.92,0.90,0.92,0.91,0.88,0.86,0.89,0.92,0.93,0.91,0.93,0.89,0.88,0.89,0.88,0.84,
Czech,2,gender,True,1,DT,0.89,0.90,0.76,0.75,0.72,0.64,0.81,0.83,0.61,0.92,0.94,0.94,0.82,0.60,0.80,0.71,0.73,0.54,
Czech,2,gender,True,3,NN,0.93,0.94,0.94,0.91,0.93,0.94,0.91,0.89,0.90,0.94,0.96,0.96,0.93,0.91,0.92,0.91,0.88,0.84,
Czech,2,gender,False,2,RF,0.75,0.75,0.72,0.66,0.69,0.68,0.69,0.67,0.67,0.73,0.73,0.75,0.73,0.65,0.70,0.70,0.69,0.71,
Czech,2,gender,False,3,NN,0.77,0.74,0.71,0.67,0.75,0.78,0.71,0.77,0.77,0.73,0.78,0.75,0.77,0.71,0.74,0.75,0.78,0.75,
Czech,2,gender,False,1,DT,0.65,0.61,0.66,0.59,0.61,0.56,0.59,0.58,0.57,0.63,0.67,0.59,0.65,0.61,0.63,0.64,0.63,0.63,
Czech,3,case,True,1,DT,0.47,0.52,0.44,0.52,0.49,0.40,0.42,0.42,0.41,0.59,0.51,0.49,0.47,0.49,0.53,0.43,0.42,0.40,
Czech,3,case,True,3,NN,0.52,0.54,0.47,0.54,0.41,0.40,0.42,0.37,0.40,0.54,0.46,0.47,0.51,0.39,0.46,0.48,0.43,0.42,
Czech,3,case,False,1,DT,0.39,0.43,0.41,0.37,0.44,0.40,0.46,0.37,0.38,0.44,0.40,0.43,0.45,0.37,0.35,0.33,0.44,0.38,
Czech,3,case,False,2,RF,0.42,0.47,0.42,0.47,0.52,0.47,0.43,0.43,0.48,0.48,0.43,0.46,0.48,0.43,0.44,0.45,0.51,0.45,
Czech,3,case,False,3,NN,0.40,0.46,0.36,0.43,0.44,0.42,0.40,0.37,0.37,0.40,0.40,0.42,0.41,0.40,0.37,0.46,0.45,0.44,
Czech,3,case,True,2,RF,0.50,0.56,0.54,0.53,0.59,0.50,0.56,0.52,0.49,0.61,0.51,0.57,0.56,0.49,0.49,0.56,0.56,0.47,
