lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,sk2g-no-hash,sk3g-no-hash,sk4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,sk2g-hash-at-both,sk3g-hash-at-both,sk4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
French,1,plurality,True,1,DT,0.91,0.85,0.88,0.90,0.83,0.87,0.93,0.89,0.79,0.91,0.89,0.91,0.89,0.90,0.83,0.90,0.90,0.91,
French,1,plurality,True,2,RF,0.94,0.93,0.89,0.91,0.90,0.93,0.97,0.93,0.94,0.94,0.93,0.95,0.92,0.93,0.92,0.96,0.95,0.96,
French,1,plurality,True,3,NN,0.91,0.93,0.94,0.95,0.96,0.94,0.97,0.95,0.96,0.94,0.94,0.96,0.93,0.95,0.94,0.96,0.95,0.96,
French,1,plurality,False,1,DT,0.89,0.87,0.91,0.88,0.86,0.88,0.91,0.85,0.85,0.86,0.90,0.91,0.89,0.90,0.85,0.89,0.90,0.89,
French,1,plurality,False,2,RF,0.93,0.94,0.91,0.91,0.91,0.94,0.96,0.92,0.94,0.93,0.92,0.95,0.92,0.95,0.93,0.96,0.94,0.96,
French,1,plurality,False,3,NN,0.92,0.91,0.93,0.91,0.95,0.93,0.97,0.95,0.96,0.93,0.93,0.96,0.93,0.95,0.93,0.97,0.97,0.97,
French,2,gender,True,1,DT,0.78,0.76,0.70,0.73,0.73,0.73,0.73,0.68,0.65,0.68,0.74,0.75,0.70,0.67,0.70,0.74,0.72,0.66,
French,2,gender,True,2,RF,0.80,0.83,0.78,0.81,0.80,0.80,0.81,0.79,0.74,0.77,0.80,0.80,0.78,0.77,0.80,0.82,0.85,0.80,
French,2,gender,True,3,NN,0.79,0.80,0.77,0.79,0.76,0.79,0.79,0.82,0.82,0.75,0.82,0.79,0.77,0.77,0.79,0.78,0.83,0.74,
French,2,gender,False,1,DT,0.74,0.76,0.69,0.74,0.70,0.70,0.71,0.75,0.71,0.71,0.71,0.74,0.68,0.68,0.70,0.71,0.71,0.69,
French,2,gender,False,2,RF,0.80,0.83,0.78,0.80,0.77,0.78,0.82,0.81,0.79,0.78,0.79,0.77,0.78,0.78,0.82,0.82,0.84,0.81,
French,2,gender,False,3,NN,0.81,0.82,0.76,0.80,0.79,0.80,0.80,0.82,0.79,0.74,0.80,0.80,0.78,0.80,0.82,0.78,0.81,0.78,
